MaxTemp,MinTemp,Humidity,Radiation,WindSpeed,Rainfall,ET_PM,Sugarcane_Growth
22.74,13.48,82.7,47.94,21.07,12.02,13.3946801,Yes
22.01,13.15,87.1,63.1,30.07,13.54,17.52937935,Yes
19.71,11.12,94.6,68.46,29.89,14.17,19.02035761,Yes
18.56,9.87,95.5,72.1,28.61,14.3,20.04796441,Yes
16.78,8.77,85.9,52.04,23.15,14.61,14.52076879,Yes
18.16,9.5,90.5,60.72,26.02,14.41,16.91165844,Yes
21.16,11.77,75,49.39,21.34,14.09,13.79752088,Yes
21.68,13.3,84.8,55.62,24.28,14.28,15.50858549,Yes
22.28,13.21,88.9,54.05,14,14.82,15.17028765,Yes
17.9,10.45,98.7,73.5,37.75,14.73,20.31887603,Yes
19.82,11.34,99.2,68.1,33.15,14.63,18.88106228,Yes
19.43,11.64,91.5,70,36.08,13.18,19.37198741,Yes
15.91,10.3,96.5,78.1,51.57,14.62,21.40325458,Yes
22.94,12.75,94.4,56.97,23.2,14.26,15.89577766,Yes
21.48,12.95,95.5,63.73,30.87,15.57,17.69517875,Yes
22.34,14.73,86.7,45.38,16.4,14.31,12.7173206,Yes
21.74,13.44,72.8,47.65,23.28,16.33,13.29505336,Yes
20.1,12.17,78.2,54.66,32.22,16.58,15.16421476,Yes
23.94,13.75,75.6,40.48,14.67,17.12,11.3569037,Yes
21.21,12.65,97.8,56.27,27.95,16.92,15.65287398,Yes
18.16,11.06,97,80.8,50.31,15.27,22.16070824,Yes
20.21,13.46,97.3,67.47,31.81,16.45,18.72237599,Yes
16.64,12.61,95,65.86,32.43,15.48,18.26845659,Yes
13.06,9.35,94,81.5,62.54,5724,22.18231454,Yes
16.18,9.26,97.8,73.3,37.5,16.89,20.26681263,Yes
17.9,10.67,98.5,74.1,31.36,15.56,20.56798988,Yes
19.35,10.93,99.3,70.6,21.21,17.5,19.72379226,Yes
18.82,10.46,99.6,79.3,38.29,16.95,21.91475078,Yes
16.5,9.81,98.2,86.4,58.83,11.9,23.57036187,Yes
22.34,12.78,98.4,63.93,24,18.28,17.82855087,Yes
17.63,10.77,92.2,65.24,43.1,18.44,17.97470023,Yes
20.01,10.46,98.1,71.3,30.47,19,19.8020107,Yes
22.81,12.56,96.3,52.32,21.8,18.76,14.61137872,Yes
19.3,12.01,98.3,58.15,22.28,18.36,16.23448764,Yes
17.11,11.19,98.4,79,40.69,15.42,21.79875078,Yes
19.36,11.61,96.8,62.97,24.49,17.38,17.5553583,Yes
20.14,12.11,93.2,57.47,18.68,18.5,16.08174306,Yes
22.88,13.21,78.8,49.27,19.87,19.72,13.77690979,Yes
23.74,14.17,76.5,42.81,15.87,19.55,12.00133908,Yes
25.46,15.08,61.85,34.64,11.93,15.59,9.735772494,Yes
24.41,16.01,59.69,35.46,11.47,19.4,9.969186104,Yes
20.3,11.83,94.2,67.51,29.27,14.17,18.76383553,Yes
17.51,11.78,96.1,71,35.29,14.99,19.65844961,Yes
20.81,12.48,95.5,60.55,28.8,19.38,16.83438776,Yes
17.11,11.61,90.6,70.4,42.91,16.39,19.39872116,Yes
17.56,11.71,95.6,76.3,45.29,18.79,20.99277069,Yes
20.22,11.48,97.6,56.75,15.34,21.75,15.91427944,Yes
17.16,11.26,89.3,62.98,44.36,19.09,17.33833905,Yes
16.76,11.24,94.8,74.9,48.82,19.87,20.56185853,Yes
15.65,11.92,75.9,68.24,56.11,12.14,18.64871575,Yes
19.88,13.39,89.5,68.41,42.41,13.9,18.85640919,Yes
19.94,13.04,93.3,56.42,29.94,20.95,15.67482261,Yes
18.5,12.57,79.3,59.5,37.21,16.74,16.45475873,Yes
18.56,11.16,95,73.2,34.68,14.2,20.27545334,Yes
19.74,12.52,94.2,63.38,32.34,21.73,17.58158561,Yes
21.94,12.96,92.6,63.22,23.75,21.79,17.63347592,Yes
19.23,11.23,97.4,67.14,21.54,12.5,18.75322679,Yes
16.38,10.43,97.1,70.8,37.5,14.19,19.57560434,Yes
19.88,11.86,96.5,75.6,42.41,19.81,20.83798369,Yes
22.81,13.84,97.2,59.73,18,22.64,16.72139071,Yes
21.08,13.7,80.9,54.12,24.34,22.76,15.08984317,Yes
16.58,11.92,96.6,75.2,45.94,11.51,20.68161919,Yes
15.98,11.28,66.39,54.89,39.77,20.57,15.15560949,Yes
17.7,12.22,69.97,43.39,24.42,23.23,12.09766957,Yes
16.9,11.9,65.65,35.53,14.48,24.12,9.969423015,Yes
17.7,10.67,84.6,54.53,24.95,23.46,15.19811354,Yes
16.97,11.23,90.4,63.22,32.63,17.97,17.53403432,Yes
17.5,12.22,92.1,75.4,56.23,14.6,20.60322904,Yes
18.24,13.28,96.9,71.1,44.37,13.1,19.57339737,Yes
20.55,15.25,88.3,44.09,21.14,25.19,12.31834212,Yes
19.56,13.99,59.96,41.75,27.15,22.54,11.62050493,Yes
21.88,14.76,72.2,43.29,25.94,25.34,12.05819061,Yes
21.68,13.85,85.2,49.95,21.14,23.5,13.95559726,Yes
19.96,14.08,77.2,57.42,43.76,18.53,15.81415124,Yes
20.29,15.52,83.9,53.56,36.03,20.34,14.82311764,Yes
17.65,13.96,91.6,62.06,34.7,14.86,17.18970914,Yes
20.36,14.46,63.96,40.38,22.28,26.83,11.27403139,Yes
21.41,15.26,76.5,45.46,21.27,26.49,12.7002646,Yes
25.13,18.92,66.08,42.33,27.07,23.47,11.78267148,Yes
27.12,18.37,76.7,45.43,17.33,26.38,12.72399797,Yes
28.32,19.57,76.6,40.62,13.8,26.94,11.40263057,Yes
27.59,18.59,73.7,35.5,9.47,23.61,9.993145761,Yes
22.01,15.34,61.29,36,15.94,27.48,10.09203201,Yes
23.54,14.86,73.8,44.96,20.94,27,12.56330416,Yes
26,16.12,89.1,48.41,9.47,27.97,13.6269878,Yes
25.34,17.94,88.2,45.89,23.47,24.69,12.80222699,Yes
16.71,12.9,65.54,47.22,28.89,12.68,13.12816342,Yes
19.83,14.09,57.15,35.7,14.07,27.22,10.01990447,Yes
19.82,13.61,82.7,47.64,27.61,20.7,13.25542585,Yes
19.76,14.93,83,55.98,24.82,16.57,15.60361931,Yes
